channel_id,channel_name
1,Россия 1
2,Первый канал
3,РЕН ТВ
4,НТВ
5,ТНТ
6,СТС
7,Домашний
8,5 Канал
9,Пятница
10,Россия 24
11,Мосфильм. Золотая коллекция HD
12,Мульт HD
13,ТВ Центр
14,Ю
15,Звезда
16,Русский роман
17,Кино ТВ HD
18,Россия 1 HD
19,ТВ3
20,Русский бестселлер
21,Первый канал HD
22,МАТЧ! ТВ
23,Карусель
24,Русский детектив
25,Солнце
26,Блокбастер HD
27,Cinema
28,День Победы HD (тест)
29,ВОЛЖСКИЙ+ (POWERNET)
30,ТНТ4
31,Мир
32,Суббота!
33,СТС Love
34,НСТ
35,Ultra HD Cinema HD
36,Кинопоказ
37,НТВ-Хит
38,Комедия
39,Россия К
40,ОТР
41,Мультимузыка
42,НТВ-Сериал HD
43,МУЗ
44,Чижик HD
45,Scream HD (тест)
46,Ultra HD Cinema
47,ТНТ HD
48,Че
49,Любимое кино
50,РБК
51,Спас
52,В гостях у сказки
53,Bolt HD
54,Сарафан
55,2x2
56,НТВ-Право
57,НТВ HD
58,Русский иллюзион
59,Дорама HD
60,Волгоград 24 HD
61,Красная Линия
62,Иллюзион плюс
63,Рыжий
64,МАТЧ! ТВ HD
65,НТВ-Стиль HD
66,Еврокино
67,Star Cinema HD
68,.Black
69,Star Family HD
70,BRIDGE CLASSIC
71,RU TV
72,Волгоград 1 HD
73,Арсенал HD
74,Тайна
75,TV XXI
76,BRIDGE DELUXE
77,Диалоги о рыбалке
78,Bollywood HD
79,Ретро
80,BRIDGE HITS
81,МТВ
82,Europa Plus TV
83,Т24
84,ТНТ Music
85,Загородный
86,Живая Планета
87,BRIDGE РУССКИЙ ХИТ
88,Охотник и рыболов HD
89,Охота и рыбалка
90,Моя Планета
91,Телеканал народной музыки HD
92,История
93,Советское кино
94,ZOO TV
95,Телепутешествия
96,Рыболов
97,Уникум
98,Усадьба
99,BRIDGE
100,Zоопарк
101,RTG
102,BRIDGE ROCK
103,Приключения HD
104,E
105,Наука 2.0
106,Sumiko HD (тест)
107,RTG HD
108,Домашние животные
109,Первый Космический HD
110,Кубань 24
111,Театр
112,Вопросы и ответы
113,Russian Extreme
114,Мир 24
115,9 Волна
116,Shopping Live
117,Здоровое ТВ
118,О!2 ТВ HD
119,Нано
120,Спортивный HD
121,Russia Today Doc HD
122,ВМЕСТЕ-РФ
123,Футбольный HD
124,Старт HD
125,Футбол HD
126,Leomax24
127,Радио Маяк
128,Радио Вести ФМ
129,Живи активно HD
130,WFC
131,360 HD
132,Астрахань 24 HD
133,Союз
134,Беларусь 24
135,Радио России
136,Мама
137,Ювелирочка
138,Хоккейный HD
139,Психология-21
140,Luxury
141,Три Ангела
142,Тонус ТВ
143,Просвещение
144,Грозный
145,ТНВ Планета
146,Калейдоскоп ТВ
147,8 канал
148,Russia Today
