Место,Телеканал,Рейтинг по времени просмотра %,Рейтинг по количеству зрителей %
1,Россия 1,7.98,4.04
2,Первый канал,6.79,4.29
3,РЕН ТВ,5.83,3.63
4,НТВ,5.7,3.23
5,ТНТ,4.84,2.85
6,СТС,4.79,3.65
7,Домашний,2.91,1.81
8,Россия 24,2.68,2.38
9,5 Канал,2.66,1.82
10,Пятница,2.46,1.82
11,Мосфильм. Золотая коллекция HD,2.45,2.24
12,ТВ Центр,2.44,1.98
13,Мульт HD,1.93,0.97
14,Ю,1.92,1.25
15,Звезда,1.9,1.87
16,Русский роман,1.71,1.11
17,МАТЧ! ТВ,1.65,1.61
18,Россия 1 HD,1.5,1.08
19,Кино ТВ HD,1.44,1.67
20,Первый канал HD,1.43,1.14
21,Русский детектив,1.39,0.69
22,Мир,1.3,1.53
23,ТВ3,1.27,1.64
24,Солнце,1.25,0.97
25,Карусель,1.21,1.08
26,НСТ,1.01,1.23
27,ВОЛЖСКИЙ+ (POWERNET),1,1.14
28,Кинопоказ,0.99,1.71
29,Cinema,0.95,1.68
30,Русский бестселлер,0.92,0.79
31,Блокбастер HD,0.91,1.62
32,СТС Love,0.82,0.72
33,День Победы HD (тест),0.8,1.14
34,Суббота!,0.76,0.59
35,Россия К,0.72,1.32
36,МУЗ,0.71,0.83
37,ТНТ4,0.69,0.76
38,Комедия,0.67,1.03
39,Ultra HD Cinema HD,0.66,1.18
40,Мультимузыка,0.6,0.42
41,Чижик HD,0.59,0.81
42,НТВ-Сериал HD,0.58,0.48
43,ОТР,0.58,1.47
44,Че,0.54,0.65
45,НТВ-Хит,0.53,0.47
46,Scream HD (тест),0.5,0.95
47,ТНТ HD,0.41,0.45
48,Bolt HD,0.4,0.64
49,Ultra HD Cinema,0.38,1
50,Рыжий,0.38,0.36
51,Дорама HD,0.37,0.37
52,Русский иллюзион,0.37,0.9
53,Спас,0.36,0.95
54,Любимое кино,0.36,0.86
55,РБК,0.35,0.22
56,2x2,0.34,0.5
57,Арсенал HD,0.34,0.39
58,В гостях у сказки,0.32,0.48
59,Еврокино,0.3,1
60,Волгоград 24 HD,0.3,1.03
61,Иллюзион плюс,0.29,0.78
62,Сарафан,0.28,0.62
63,МАТЧ! ТВ HD,0.27,0.26
64,НТВ-Право,0.25,0.44
65,Тайна,0.25,0.65
66,Star Family HD,0.25,0.53
67,НТВ HD,0.24,0.47
68,BRIDGE HITS,0.23,0.25
69,МТВ,0.22,0.81
70,TV XXI,0.22,0.67
71,Красная Линия,0.21,0.33
72,Star Cinema HD,0.19,0.55
73,.Black,0.19,0.56
74,Волгоград 1 HD,0.18,0.65
75,Диалоги о рыбалке,0.18,0.37
76,НТВ-Стиль HD,0.16,0.33
77,Моя Планета,0.16,0.26
78,Bollywood HD,0.15,0.31
79,RU TV,0.15,0.2
80,BRIDGE DELUXE,0.15,0.19
81,Уникум,0.14,0.25
82,История,0.14,0.23
83,Ретро,0.14,0.58
84,Рыболов,0.14,0.31
85,Zоопарк,0.14,0.2
86,Охотник и рыболов HD,0.13,0.33
87,Загородный,0.13,0.2
88,ТНТ Music,0.12,0.19
89,Живая Планета,0.12,0.26
90,Наука 2.0,0.12,0.19
91,Т24,0.12,0.31
92,Europa Plus TV,0.12,0.25
93,BRIDGE CLASSIC,0.11,0.25
94,BRIDGE ROCK,0.11,0.14
95,E,0.11,0.14
96,ZOO TV,0.1,0.23
97,BRIDGE,0.1,0.19
98,Мир 24,0.1,0.12
99,BRIDGE РУССКИЙ ХИТ,0.1,0.22
100,RTG,0.09,0.11
101,Охота и рыбалка,0.08,0.26
102,Приключения HD,0.08,0.22
103,Телеканал народной музыки HD,0.07,0.19
104,Союз,0.07,0.05
105,Sumiko HD (тест),0.07,0.25
106,Советское кино,0.07,0.59
107,Shopping Live,0.07,0.14
108,Театр,0.07,0.36
109,Усадьба,0.06,0.16
110,Телепутешествия,0.06,0.19
111,RTG HD,0.06,0.14
112,Первый Космический HD,0.05,0.22
113,Russian Extreme,0.05,0.17
114,Живи активно HD,0.05,0.19
115,Футбольный HD,0.05,0.11
116,Футбол HD,0.04,0.06
117,Вопросы и ответы,0.04,0.09
118,WFC,0.03,0.09
119,О!2 ТВ HD,0.03,0.14
120,Старт HD,0.03,0.09
121,Ювелирочка,0.03,0.06
122,Беларусь 24,0.03,0.08
123,Кубань 24,0.02,0.11
124,Здоровое ТВ,0.02,0.08
125,360 HD,0.01,0.05
126,ВМЕСТЕ-РФ,0.01,0.06
127,Радио Маяк,0.01,0.03
128,Домашние животные,0.01,0.14
129,Радио Вести ФМ,0.01,0.03
130,Астрахань 24 HD,0.01,0.11
131,Три Ангела,0.01,0.03
132,Спортивный HD,0.01,0.09
133,Russia Today Doc HD,0.01,0.09
134,Мама,0.01,0.06
135,Нано,0.01,0.09
136,9 Волна,0.01,0.12
137,Luxury,0.01,0.06
138,Радио России,0.01,0.06
139,Leomax24,0.01,0.06
140,ТНВ Планета,0.01,0.05
141,Калейдоскоп ТВ,0.01,0.05
142,Просвещение,0.01,0.06
143,Тонус ТВ,0.01,0.03
144,Грозный,0.01,0.06
145,Хоккейный HD,0.01,0.05
146,8 канал,0.01,0.05
147,Russia Today,0.01,0.05
148,Психология-21,0.01,0.05
